date,word,definition
2026-12-08,PANEL,The presiding committee of umpires and chief technical delegates supervising tournament competition.
2026-12-09,SKIPS,"The team captains who orchestrate strategy, signal shot choices from the house, and throw final stones."
2026-12-10,LEADS,"The front-end players who open each end by establishing corner guards, centre guards, or early draws."
2026-12-11,FAULT,"A delivery infraction, such as failing to release the handle before crossing the near hog line."
2026-12-12,BUILD,The offensive strategy of accumulating multiple stones in the rings to produce a multi-point score.
2026-12-13,ZONES,"Specific strategic areas on the sheet, notably the house and the Free Guard Zone between tee and hog line."
2026-12-14,PRIZE,"The trophy, championship banner, medals, or purse awarded to the winning team at a major bonspiel."
2026-12-15,PATHS,The repeated delivery tracks along the ice that become polished and keen through continuous sweeping and travel.
2026-12-16,PLACE,Executing a shot with calibrated line and weight to park a stone precisely in a designated tactical spot.
2026-12-17,POWER,The tactical placement option available once per game to each team in mixed doubles discipline play.
2026-12-18,RINKS,"Curling facilities housing multiple sheets, or the historic Scottish term identifying curling teams."
2026-12-19,SHEDS,"The specialized, climate-controlled arena buildings that house indoor curling sheets and refrigeration plants."
2026-12-20,SCOTS,"The historic innovators in Scotland who formalized curling rules, stones, and clubs during the early modern era."
2026-12-21,ROUND,A scheduled draw or preliminary stage of pool competition within a comprehensive tournament format.
2026-12-22,SEEDS,Tournament ranking placements that determine bracket positions and draw schedules for championship playoffs.
2026-12-23,POOLS,Group divisions in round-robin tournaments where teams contest preliminary matches to earn playoff berths.
2026-12-24,CALLS,"Verbal decisions and commands issued by the skip regarding weight calibration, ice line, and sweeping."
2026-12-25,STATS,Shot-making percentage evaluations compiled by official scorers to measure individual and team efficiency.
2026-12-26,RATES,Numerical grades assigned by statistical judges to quantify shot execution success on a zero-to-four scale.
2026-12-27,TOTAL,The cumulative aggregate score of counting stones tallied across all completed ends of a curling match.
2026-12-28,JUDGE,"An accredited competition official who inspects equipment, monitors hog lines, and resolves rule disputes."
2026-12-29,CHEER,"Respectful audience applause acknowledging superb shotmaking, traditionally withheld until the shot is complete."
2026-12-30,SHAKE,The traditional post-game handshake shared between opposing curlers alongside the greeting 'Good curling'.
2026-12-31,TITLE,The championship honor and trophy awarded to the victorious team concluding a season-long competition.
